0,1,2,3,4,5,6,7,8,9
22,20,27,17,24,21,18,21,24,26
21,27,24,23,24,20,21,22,23,22
18,19,23,25,20,24,36,33,27,27
35,17,26,32,24,23,23,16,17,22
21,31,18,20,20,29,21,27,24,26
21,20,33,24,27,27,30,34,30,22
30,25,18,28,22,17,17,25,25,31
31,28,14,28,29,27,30,24,24,19
27,31,29,31,22,23,28,30,29,18
18,24,25,20,24,19,20,25,23,32
16,25,20,25,21,34,31,23,24,29
23,22,29,24,25,20,28,36,38,25
28,28,25,24,25,24,30,23,17,30
25,29,28,22,22,22,14,25,21,31
17,30,23,20,21,32,28,23,27,22
18,26,29,26,21,24,26,18,24,26
21,37,20,31,20,22,28,27,23,27
22,27,20,22,20,29,27,26,22,19
32,29,28,24,18,25,20,24,28,30
18,29,29,17,28,31,27,21,22,19
