t (s),V (mV)
0,15.9759
0.971,15.9526
1.911,15.9306
2.91,15.9058
3.91,15.8777
4.91,15.8495
5.91,15.8211
6.91,15.7923
7.91,15.7622
8.911,15.7326
9.911,15.705
10.91,15.6751
11.91,15.645
12.91,15.6165
13.91,15.5839
14.91,15.5536
15.91,15.5244
16.911,15.4962
17.911,15.4647
18.911,15.4348
19.911,15.4037
20.91,15.3722
21.91,15.3419
22.91,15.3146
23.91,15.285
24.91,15.2555
25.91,15.2242
26.91,15.1929
27.91,15.1623
28.911,15.1302
29.911,15.1034
30.91,15.0718
31.91,15.0435
32.91,15.0134
33.91,14.9831
34.91,14.9531
35.91,14.921
36.91,14.8916
37.91,14.8624
38.91,14.8326
39.91,14.8009
40.911,14.7728
41.911,14.7415
42.911,14.7118
43.911,14.6837
44.911,14.6544
45.911,14.6249
46.911,14.5956
47.91,14.5664
48.91,14.5385
49.911,14.5115
50.911,14.484
51.911,14.4537
52.911,14.4246
53.911,14.3951
54.911,14.3676
55.911,14.3417
56.91,14.312
57.91,14.2835
58.91,14.2553
59.91,14.2242
60.911,14.1986
61.911,14.1721
62.911,14.1467
63.911,14.1183
64.911,14.0908
65.91,14.0627
66.91,14.0354
67.91,14.0084
68.91,13.982
69.91,13.9552
70.91,13.9269
71.911,13.8995
72.911,13.874
73.911,13.8477
74.911,13.819
75.911,13.792
76.911,13.7642
77.911,13.7373
78.91,13.7107
79.91,13.682
80.91,13.6553
81.91,13.629
82.91,13.6016
83.91,13.5731
84.911,13.5475
85.911,13.522
86.911,13.4955
87.91,13.4674
88.91,13.4406
89.91,13.4155
90.91,13.3881
91.911,13.3629
92.911,13.3366
93.911,13.3101
94.911,13.2844
95.911,13.2597
96.91,13.2353
97.911,13.2082
98.91,13.1814
99.91,13.1573
100.911,13.1326
101.911,13.1057
102.911,13.0789
103.91,13.0557
104.911,13.0282
105.911,13.0033
106.911,12.9779
107.91,12.952
108.91,12.9266
109.911,12.8998
110.911,12.8762
111.911,12.8499
112.91,12.8255
113.91,12.7999
114.91,12.777
115.911,12.75
116.911,12.7248
117.91,12.701
118.911,12.6766
119.911,12.6503
120.911,12.6243
121.91,12.5995
122.911,12.5783
123.91,12.5517
124.91,12.5258
125.911,12.501
126.911,12.4792
127.91,12.4524
128.91,12.4299
129.911,12.4055
130.911,12.3832
131.911,12.3598
132.91,12.3359
133.91,12.3109
134.911,12.2873
135.911,12.2644
136.91,12.2408
137.911,12.2175
138.911,12.1921
139.91,12.1716
140.911,12.1465
141.911,12.1254
142.91,12.1017
143.911,12.0786
144.911,12.0549
145.91,12.0305
146.91,12.0072
147.911,11.9852
148.91,11.9596
149.911,11.9363
150.91,11.9146
151.911,11.8901
152.91,11.8696
153.911,11.846
154.91,11.8207
155.91,11.7989
156.911,11.7776
157.911,11.7543
158.91,11.7324
159.911,11.71
160.911,11.6863
161.91,11.6636
162.911,11.6383
163.911,11.618
164.91,11.5943
165.91,11.57
166.911,11.5479
167.91,11.528
168.911,11.5045
169.911,11.4809
170.91,11.4593
171.911,11.4369
172.911,11.416
173.91,11.3928
174.911,11.3709
175.911,11.3471
176.911,11.3264
177.911,11.3057
178.91,11.2841
179.911,11.265
180.91,11.2433
181.911,11.2231
182.91,11.1997
183.911,11.1798
184.91,11.1588
185.911,11.138
186.91,11.1153
187.911,11.0956
188.911,11.0745
189.91,11.0563
190.911,11.0387
191.91,11.0164
192.91,10.9931
193.911,10.9736
194.911,10.9517
195.91,10.9304
196.911,10.9096
197.91,10.891
198.91,10.8704
199.911,10.852
200.91,10.8321
201.911,10.8102
202.911,10.7902
203.911,10.7706
204.911,10.7495
205.911,10.7295
206.91,10.708
207.911,10.6881
208.91,10.6693
209.911,10.6473
210.91,10.6259
211.91,10.6044
212.909,10.5843
213.909,10.5634
214.909,10.5436
215.91,10.5234
216.909,10.5039
217.909,10.4843
218.91,10.4658
219.909,10.4479
220.909,10.4264
221.91,10.4096
222.909,10.389
223.909,10.3701
224.91,10.35
225.909,10.3321
226.91,10.3124
227.91,10.2912
228.909,10.2746
229.91,10.2539
230.91,10.2341
231.909,10.2153
232.909,10.1951
233.91,10.1753
234.909,10.1571
235.91,10.1389
236.909,10.1215
237.91,10.1029
238.91,10.0851
239.909,10.0659
240.909,10.0457
241.909,10.0291
242.91,10.0106
243.911,9.9914
244.91,9.9728
245.911,9.957
246.91,9.9391
247.911,9.9203
248.911,9.9012
249.91,9.8835
250.911,9.8654
251.91,9.8493
252.911,9.8297
253.911,9.8121
254.911,9.7921
255.91,9.7759
256.911,9.7586
257.911,9.739
258.91,9.7225
259.911,9.7033
260.91,9.6848
261.911,9.6684
262.91,9.6517
263.91,9.6341
264.91,9.6166
265.911,9.5972
266.911,9.582
267.911,9.5617
268.91,9.5469
269.911,9.5299
270.91,9.5125
271.91,9.4958
272.911,9.4773
