size,list,forward_list,subforwardlist
1000,15,14,13
2000,14,14,13
3000,15,14,14
4000,15,14,14
5000,15,13,14
6000,15,14,14
7000,14,14,14
8000,14,15,14
9000,14,13,14
10000,15,14,15
11000,15,14,14
12000,15,14,15
13000,15,14,15
14000,16,15,16
15000,15,14,14
16000,15,14,14
17000,15,14,14
18000,15,14,14
19000,16,14,15
20000,15,14,15
21000,14,14,14
22000,14,13,13
23000,14,13,13
24000,15,15,14
25000,14,13,14
26000,15,14,14
27000,16,14,14
28000,14,13,13
29000,14,13,14
30000,14,13,13
31000,14,13,13
32000,14,14,14
33000,14,14,14
34000,16,13,13
35000,15,14,14
36000,14,13,13
37000,14,13,14
38000,15,14,14
39000,15,14,14
40000,15,15,14
41000,15,15,14
42000,15,14,14
43000,16,14,14
44000,15,14,14
45000,15,14,15
46000,15,14,14
47000,15,17,14
48000,14,13,14
49000,15,14,14
50000,14,14,14
51000,15,13,14
52000,14,14,14
53000,15,14,14
54000,15,17,15
55000,16,13,14
56000,14,15,14
57000,14,14,13
58000,14,14,14
59000,14,14,14
60000,15,13,14
61000,15,14,15
62000,15,14,14
63000,15,14,14
64000,15,14,14
65000,15,14,14
66000,15,15,14
67000,16,15,15
68000,16,14,14
69000,15,14,14
70000,14,14,14
71000,15,14,14
72000,15,15,14
73000,15,14,14
74000,15,31,14
75000,15,14,14
76000,15,15,14
77000,15,14,15
78000,15,14,14
79000,15,14,14
80000,15,14,14
81000,16,15,15
82000,15,14,14
83000,16,14,14
84000,15,14,14
85000,14,14,14
86000,14,14,14
87000,14,14,14
88000,15,16,14
89000,14,14,14
90000,14,13,14
91000,14,14,14
92000,15,13,14
93000,15,14,14
94000,15,14,13
95000,15,14,14
96000,15,14,13
97000,14,14,14
98000,14,14,14
99000,15,13,14
100000,15,13,14
101000,15,14,15
102000,16,14,14
103000,16,14,14
104000,15,14,14
105000,15,14,14
106000,14,14,14
107000,14,14,14
108000,16,16,15
109000,14,14,14
110000,15,14,14
111000,14,14,14
112000,16,14,14
113000,15,14,15
114000,15,14,14
115000,16,15,15
116000,15,14,14
117000,15,14,14
118000,15,13,13
119000,16,14,14
120000,14,14,13
121000,14,14,17
122000,15,14,14
123000,14,13,14
124000,14,15,14
125000,14,13,14
126000,15,14,14
127000,14,14,14
128000,14,14,14
129000,15,15,16
130000,15,14,14
131000,15,14,14
132000,15,14,14
133000,15,14,14
134000,15,14,14
135000,17,14,15
136000,14,13,14
137000,14,14,14
138000,15,14,14
139000,15,14,14
140000,14,15,14
141000,15,14,14
142000,15,15,14
143000,14,13,14
144000,14,14,14
145000,14,14,14
146000,14,14,14
147000,14,14,14
148000,14,14,14
149000,16,15,15
150000,15,14,14
151000,17,14,14
152000,15,14,14
153000,15,14,14
154000,15,14,14
155000,15,16,14
156000,15,15,14
157000,15,14,14
158000,15,14,14
159000,15,14,14
160000,14,14,14
161000,15,13,14
162000,16,15,15
163000,16,14,14
164000,15,13,14
165000,14,14,14
166000,14,14,14
167000,16,13,13
168000,14,14,14
169000,16,15,15
170000,14,14,13
171000,14,14,14
172000,15,15,14
173000,14,13,13
174000,14,14,13
175000,14,14,14
176000,15,15,14
177000,14,14,14
178000,14,14,14
179000,15,14,14
180000,15,14,13
181000,14,14,14
182000,14,13,14
183000,17,14,14
184000,14,13,14
185000,14,14,14
186000,15,14,14
187000,14,14,14
188000,14,15,14
189000,15,15,14
190000,15,15,14
191000,15,14,14
192000,14,14,14
193000,15,14,14
194000,14,14,13
195000,15,14,14
196000,14,14,14
197000,15,14,14
198000,15,14,14
199000,16,14,13
200000,14,14,14
201000,14,14,14
202000,14,13,14
203000,17,15,15
204000,15,15,14
205000,14,14,14
206000,14,14,14
207000,15,14,14
208000,15,14,14
209000,15,14,14
210000,15,14,14
211000,14,13,14
212000,15,14,14
213000,15,15,15
214000,15,15,15
215000,18,14,15
216000,15,16,15
217000,15,15,14
218000,15,14,14
219000,15,14,14
220000,15,15,14
221000,15,14,14
222000,15,14,13
223000,16,14,14
224000,14,14,13
225000,14,14,14
226000,15,14,15
227000,14,13,13
228000,15,13,13
229000,14,13,13
230000,16,14,14
231000,17,14,14
232000,15,14,14
233000,14,13,14
234000,15,14,13
235000,15,14,14
236000,15,15,14
237000,14,14,14
238000,14,14,13
239000,14,13,14
240000,14,14,14
241000,15,14,14
242000,15,14,13
243000,14,14,14
244000,15,14,15
245000,14,14,14
246000,15,14,14
247000,16,14,14
248000,14,13,14
249000,15,14,14
250000,15,14,14
251000,16,14,14
252000,14,15,13
253000,15,13,14
254000,15,14,14
255000,14,14,13
256000,15,14,14
257000,15,14,15
258000,16,14,15
259000,15,14,14
260000,15,14,14
261000,15,14,14
262000,14,14,14
263000,16,14,14
264000,15,14,14
265000,15,13,15
266000,15,14,14
267000,14,14,13
268000,14,15,13
269000,15,14,14
270000,15,14,14
271000,18,14,15
272000,15,14,14
273000,14,14,14
274000,14,14,14
275000,14,14,14
276000,14,14,14
277000,14,14,14
278000,15,14,15
279000,17,13,13
280000,15,13,14
281000,14,14,14
282000,14,13,13
283000,14,13,14
284000,14,15,14
285000,15,15,13
286000,14,13,14
287000,14,13,13
288000,14,13,13
289000,14,13,14
290000,14,13,13
291000,14,15,15
292000,16,15,14
293000,14,14,14
294000,14,14,14
295000,16,14,14
296000,14,14,13
297000,15,14,14
298000,17,13,15
299000,15,14,13
300000,14,15,14
301000,15,14,14
302000,15,13,14
303000,14,14,14
304000,14,14,15
305000,15,14,15
306000,14,14,14
307000,15,14,14
308000,14,14,14
309000,14,14,14
310000,14,14,14
311000,17,14,14
312000,15,14,14
313000,14,14,13
314000,15,14,15
315000,14,14,13
316000,14,15,14
317000,15,14,14
318000,14,14,14
319000,16,14,14
320000,16,14,14
321000,14,14,14
322000,15,14,14
323000,14,14,14
324000,15,14,14
325000,15,14,14
326000,15,15,15
327000,17,14,14
328000,14,14,14
329000,14,14,14
330000,15,14,14
331000,14,14,14
332000,15,17,15
333000,15,14,13
334000,14,14,14
335000,15,14,14
336000,15,14,14
337000,14,14,14
338000,15,14,14
339000,14,15,15
340000,14,14,13
341000,14,14,14
342000,14,14,13
343000,17,13,14
344000,14,14,13
345000,15,14,14
346000,14,15,15
347000,15,14,14
348000,15,15,14
349000,15,14,14
350000,14,14,14
351000,15,14,14
352000,14,14,14
353000,16,15,14
354000,15,14,14
355000,15,14,14
356000,14,14,14
357000,14,14,14
358000,15,13,14
359000,18,14,15
360000,15,14,14
361000,15,13,14
362000,14,13,14
363000,14,13,14
364000,14,15,13
365000,15,13,14
366000,16,15,15
367000,15,14,14
368000,15,14,14
369000,14,14,14
370000,14,13,14
371000,14,14,14
372000,15,14,13
373000,15,14,15
374000,14,14,14
375000,17,14,14
376000,14,14,14
377000,15,14,14
378000,15,14,14
379000,15,14,13
380000,16,15,14
381000,14,14,15
382000,14,14,14
383000,14,14,13
384000,14,14,14
385000,14,14,14
386000,15,14,14
387000,15,14,14
388000,14,14,14
389000,14,14,14
390000,14,13,13
391000,16,13,13
392000,14,13,13
393000,14,13,13
394000,15,14,15
395000,14,13,13
396000,14,14,13
397000,14,13,13
398000,14,13,13
399000,14,13,13
400000,14,13,13
401000,14,14,14
402000,15,14,14
403000,14,13,14
404000,15,14,13
405000,15,14,14
406000,14,13,14
407000,16,14,14
408000,14,14,15
409000,15,14,14
410000,15,14,14
411000,15,14,14
412000,15,16,14
413000,15,14,14
414000,15,14,14
415000,15,14,14
416000,15,14,14
417000,14,14,15
418000,14,14,14
419000,15,14,14
420000,14,14,14
421000,16,15,14
422000,14,14,14
423000,16,14,13
424000,14,14,14
425000,15,14,14
426000,14,14,13
427000,14,14,13
428000,15,15,14
429000,14,14,14
430000,14,14,14
431000,15,14,14
432000,14,14,14
433000,14,14,14
434000,14,14,14
435000,16,14,14
436000,15,14,14
437000,14,13,14
438000,14,13,14
439000,16,13,14
440000,15,14,14
441000,15,14,14
442000,15,14,13
443000,15,14,13
444000,15,15,14
445000,14,14,14
446000,15,14,14
447000,14,13,14
448000,15,14,14
449000,15,14,15
450000,14,14,13
451000,15,14,14
452000,15,13,13
453000,14,14,13
454000,14,14,14
455000,16,13,14
456000,14,14,14
457000,15,14,14
458000,15,14,14
459000,14,14,13
460000,15,15,14
461000,15,14,14
462000,14,14,15
463000,14,14,13
464000,15,13,14
465000,15,14,15
466000,15,14,14
467000,14,14,14
468000,15,14,14
469000,14,14,15
470000,15,14,14
471000,17,14,14
472000,15,13,14
473000,15,13,14
474000,14,14,14
475000,14,13,14
476000,15,16,14
477000,15,14,14
478000,14,14,14
479000,14,14,13
480000,14,14,14
481000,15,13,14
482000,14,14,14
483000,14,16,14
484000,15,13,13
485000,14,13,13
486000,14,13,13
487000,16,13,14
488000,14,13,13
489000,14,13,13
490000,14,15,14
491000,15,14,14
492000,14,15,14
493000,14,14,13
494000,15,14,14
495000,15,14,13
496000,14,14,14
497000,15,15,14
498000,14,13,13
499000,14,13,13
500000,14,13,14
501000,14,14,13
502000,14,13,14
503000,16,14,14
504000,14,14,15
505000,15,14,14
506000,14,13,13
