size,set,map,multiset,multimap
1000,43,34,40,38
2000,43,37,43,42
3000,44,35,44,45
4000,46,37,45,45
5000,48,38,46,46
6000,47,37,45,45
7000,62,39,48,47
8000,63,39,47,47
9000,63,40,50,49
10000,64,40,49,50
11000,61,40,52,50
12000,61,40,50,49
13000,54,41,50,50
14000,62,43,49,50
15000,51,42,51,51
16000,53,42,50,50
17000,55,42,53,51
18000,55,42,52,52
19000,54,42,52,52
20000,54,42,53,52
21000,56,42,53,52
22000,55,42,54,52
23000,54,43,51,50
24000,57,42,52,52
25000,59,46,53,53
26000,56,43,55,53
27000,56,43,54,54
28000,56,43,58,56
29000,55,44,56,54
30000,56,43,56,53
31000,56,44,55,53
32000,56,43,54,54
33000,61,46,55,55
34000,61,46,56,55
35000,58,45,56,56
36000,57,45,56,56
37000,58,44,57,54
38000,56,44,56,54
39000,56,43,55,58
40000,55,44,54,54
41000,58,43,54,54
42000,56,46,55,55
43000,56,44,54,56
44000,58,48,56,55
45000,56,43,54,54
46000,56,46,54,54
47000,56,44,55,54
48000,56,44,55,54
49000,60,43,55,54
50000,61,45,57,57
51000,63,46,57,56
52000,61,49,57,59
53000,60,45,56,56
54000,61,45,56,56
55000,58,45,59,56
56000,59,46,56,55
57000,59,45,55,56
58000,58,45,59,58
59000,58,46,57,56
60000,59,45,60,55
61000,62,45,58,56
62000,57,44,59,55
63000,58,44,59,56
64000,58,45,59,56
65000,58,45,58,55
66000,64,51,62,63
67000,65,53,60,58
68000,66,50,57,59
69000,61,48,57,63
70000,61,45,58,63
71000,60,46,63,61
72000,60,47,63,63
73000,64,46,58,60
74000,62,52,57,58
75000,59,49,58,58
76000,59,48,58,57
77000,62,45,58,59
78000,62,46,58,57
79000,63,45,58,57
80000,59,46,60,59
81000,61,47,62,60
82000,60,47,57,59
83000,60,46,57,57
84000,59,46,57,59
85000,61,46,58,61
86000,59,50,59,59
87000,60,53,58,58
88000,59,47,59,59
89000,63,49,58,57
90000,63,45,57,57
91000,63,46,60,57
92000,66,46,61,59
93000,59,45,57,59
94000,61,45,58,57
95000,61,46,58,61
96000,65,46,60,60
97000,61,49,61,61
98000,61,53,62,61
99000,62,50,67,62
100000,61,47,63,68
101000,63,52,65,59
102000,60,48,59,59
103000,66,55,62,61
104000,62,51,65,59
105000,63,50,65,60
106000,66,50,64,60
107000,69,48,64,62
108000,62,51,65,62
109000,72,48,64,62
110000,68,48,63,63
111000,66,47,61,59
112000,66,47,61,64
113000,65,47,61,65
114000,61,48,66,64
115000,62,48,66,64
116000,62,51,63,61
117000,62,49,61,60
118000,62,53,64,60
119000,65,49,60,59
120000,66,47,59,61
121000,62,48,59,59
122000,63,47,58,59
123000,62,49,61,63
124000,64,48,61,62
125000,61,47,60,62
126000,61,47,59,59
127000,62,47,58,58
128000,61,46,58,58
129000,62,47,59,58
130000,65,52,62,60
131000,66,47,58,62
132000,66,54,60,64
133000,65,48,61,60
134000,66,51,65,63
135000,66,48,64,60
136000,64,49,63,62
137000,67,48,60,60
138000,67,48,60,60
139000,68,51,60,60
140000,69,52,65,62
141000,64,48,67,60
142000,65,48,60,60
143000,63,51,61,63
144000,64,51,63,60
145000,62,48,60,60
146000,63,48,60,61
147000,63,48,61,60
148000,63,51,61,60
149000,66,48,60,59
150000,64,53,61,61
151000,72,52,63,60
152000,69,49,60,60
153000,69,48,60,60
154000,67,48,60,60
155000,65,48,60,62
156000,63,48,60,62
157000,63,49,62,64
158000,63,51,61,61
159000,63,47,60,60
160000,64,55,63,60
161000,64,49,64,60
162000,66,50,63,60
163000,64,52,60,60
164000,64,49,62,62
165000,64,48,60,60
166000,64,48,61,60
167000,64,48,60,60
168000,64,48,60,60
169000,63,49,60,60
170000,66,48,61,60
171000,65,50,62,61
172000,63,52,63,60
173000,65,48,61,60
174000,65,48,61,60
175000,64,48,60,60
176000,63,47,61,64
177000,64,51,65,63
178000,66,50,65,60
179000,63,51,63,60
180000,63,51,64,60
181000,64,49,60,66
182000,69,50,60,60
183000,63,48,62,61
184000,63,48,62,62
185000,64,48,62,60
186000,64,50,60,62
187000,66,51,60,60
188000,63,48,62,60
189000,66,48,65,65
190000,64,48,65,61
191000,63,48,65,65
192000,64,47,63,63
193000,67,54,67,63
194000,67,56,61,61
195000,66,54,60,60
196000,65,51,61,60
197000,69,54,63,62
198000,70,51,65,65
199000,65,49,68,63
200000,69,49,70,62
201000,65,50,72,64
202000,69,50,64,64
203000,68,56,67,62
204000,71,56,67,67
205000,78,51,64,63
206000,74,56,64,61
207000,67,49,64,79
208000,69,52,70,65
209000,70,50,68,64
210000,69,50,64,70
211000,69,50,65,62
212000,69,50,64,64
213000,68,52,64,63
214000,66,50,63,64
215000,71,56,68,63
216000,67,50,65,63
217000,64,51,63,63
218000,66,50,63,63
219000,67,50,66,63
220000,69,49,65,62
221000,66,50,67,68
222000,68,51,64,64
223000,66,54,68,66
224000,69,50,63,67
225000,72,52,68,62
226000,70,53,72,70
227000,67,50,67,65
228000,64,51,61,62
229000,66,52,65,66
230000,65,50,64,64
231000,64,49,62,61
232000,67,49,69,65
233000,64,51,72,67
234000,67,50,65,68
235000,64,49,65,66
236000,66,49,62,68
237000,72,56,64,63
238000,73,65,67,63
239000,70,58,68,63
240000,67,51,67,68
241000,68,52,63,71
242000,65,49,68,71
243000,66,49,72,68
244000,65,50,68,62
245000,64,52,62,68
246000,67,54,62,65
247000,66,55,62,65
248000,68,51,63,62
249000,66,50,73,65
250000,67,50,68,69
251000,71,51,70,67
252000,64,53,63,69
253000,67,49,63,66
254000,64,49,62,64
255000,65,49,62,62
256000,67,50,63,63
257000,65,56,65,66
258000,67,56,67,62
259000,69,48,66,61
260000,71,49,68,62
261000,70,49,67,65
262000,76,54,72,66
263000,73,54,73,69
264000,70,52,70,73
265000,69,51,72,68
266000,71,53,65,66
267000,76,57,70,73
268000,74,58,69,70
269000,66,53,66,70
270000,66,49,64,66
271000,66,50,63,69
272000,66,50,67,65
273000,69,50,64,67
274000,75,54,68,72
275000,70,50,71,69
276000,69,58,66,69
277000,69,50,68,68
278000,68,53,68,67
279000,74,57,66,69
280000,77,54,66,66
281000,75,57,63,66
282000,70,50,63,67
283000,69,56,64,66
284000,67,56,64,70
285000,66,56,69,74
286000,68,55,72,70
287000,66,49,68,64
288000,67,53,63,66
289000,66,55,66,63
290000,70,50,67,71
291000,73,53,70,70
