size,vector,forward_list,list,map,set
50000,16433,223859,196505,489120,346818
100000,32108,527693,479135,1118511,782668
150000,48315,1425394,1268024,2467933,2109910
200000,64306,2574167,2489297,4298066,3903345
250000,83106,3499154,3225672,5168183,5000870
300000,96206,4100171,3926347,6822183,6482280
350000,115985,5070309,4628584,7712716,8247964
400000,131581,5586709,5291412,8986631,9382400
450000,146619,6551943,6040202,10300813,10846541
500000,160260,7036182,6690763,11861341,12388640
550000,178896,8050268,7430146,14841520,14474725
600000,195096,8877829,8149332,13892687,14724681
650000,215842,9640260,8848935,15571582,16254303
700000,224415,9999297,9580162,16334844,17542302
750000,245507,11042338,10329166,17797386,18832067
800000,256609,11415177,11013392,18753738,20159471
850000,279672,12848817,12350005,20448211,21830357
900000,289308,12979537,12463397,21344215,22974233
950000,311468,13652196,13175411,21791213,23639500
1000000,324251,14179202,13715154,22868278,24779440
1050000,341504,15140562,14728124,24191909,26122078
1100000,354360,16098460,15182782,25251209,27514232
1150000,375962,16654252,16193092,26622910,28842872
1200000,385651,17140437,16587895,27628044,30092756
1250000,408369,18173306,17602438,29185408,32016941
1300000,458075,18723944,17945829,30240617,33084774
1350000,442623,19597064,18856329,31567289,36575872
1400000,453446,20055408,19312133,32649081,35755059
1450000,471690,21044524,20660323,34176286,37072909
1500000,481709,21509548,20816185,35723130,38488786
1550000,515467,22640299,21657974,36269626,39744323
1600000,513663,22909301,22555508,37673103,40979795
1650000,543428,24165371,22984905,38657553,42360608
1700000,547754,24307610,23512674,39619207,43634519
1750000,575460,25937769,24375095,41157752,45076363
1800000,579231,25777306,24973974,42208019,46299254
1850000,613435,27036916,25744551,43815003,47887550
1900000,612072,27289500,26394054,44628898,49046208
1950000,638662,28394015,27148860,45916027,50788323
2000000,643588,28727928,27824963,46993680,51638489
2050000,677507,29851529,28552147,48155803,53054957
2100000,675538,30569937,29221339,49322014,54364108
2150000,710007,31367814,29942905,50654352,55720766
2200000,711588,31654072,31075945,51788337,56985907
2250000,748953,32726808,31337375,52947323,58396769
2300000,746656,33143865,32472936,54276903,59657308
2350000,790963,34203910,32772121,55395506,60985162
2400000,781222,34476035,33968622,56668929,62579272
2450000,824187,35907984,34554269,58045998,65912075
2500000,811068,36724125,35156220,58946755,65177962
2550000,853000,37298741,36224227,60601176,67072210
2600000,839056,37805914,36653711,61470563,68040980
2650000,900200,38768702,37039776,62733120,69407510
2700000,888242,38826000,37626801,63655040,70272556
2750000,932082,39957685,38831416,64770829,71606163
2800000,925270,40347809,39091802,65921079,73915018
2850000,981541,41506778,39838881,67257427,74192590
2900000,965815,41741957,40488612,68639310,75447611
2950000,1000575,42889169,41192174,69504930,77115627
3000000,1005561,43215350,41864191,70629916,78200542
